Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02,256.6408386230469,222.41000366210938,245.356689453125,725.8360595703125,513.604248046875,188.8692626953125,436.0,257.68882891050583,222.80999755859375,246.4751651396655,726.5548890984803,519.439966484546,191.0290292282152,470.75,253.66649683440303,218.9499969482422,241.97128907367482,716.9409630753169,508.5652045551738,188.03935198339767,435.57000732421875,256.09186667190835,221.00999450683594,244.8174135056227,721.3735522103992,515.496404228155,189.57919146332628,470.5400085449219,42630200,41258600,25483300,11415300,21222900,136805800,137009000
2025-10-03,257.5291442871094,219.50999450683594,245.0171356201172,709.3735961914062,515.20751953125,187.5994110107422,429.8299865722656,258.7468246365968,224.1999969482422,245.96584369150784,729.7794705550638,518.3345307125708,190.33911589327732,446.7699890136719,253.46689477740222,219.33999633789062,241.33213946713911,708.9942257916973,512.8672756929882,185.35966652947783,416.5799865722656,254.18552630266564,223.44000244140625,244.15830178707057,728.4117628788885,514.9585548343116,189.16924608680657,443.2900085449219,49155600,43639000,30249600,16154300,15112300,137596900,133188200
2025-10-06,256.2016906738281,220.89999389648438,250.09024047851562,714.465087890625,526.3811645507812,185.51962280273438,453.25,258.5771679771474,221.72999572753906,250.97904766602093,715.6830826309072,528.8309994124726,187.20943969833962,453.54998779296875,254.56481112131073,216.02999877929688,244.24818617214953,689.3571155710283,516.0541122577388,183.3098739831843,436.69000244140625,257.49920544747016,221.0,244.44791178946252,704.0125981338592,516.4623876768178,185.4796339074747,440.75,44664100,43690900,28894700,21654700,21388600,157678100,85324900
2025-10-07,255.99208068847656,221.77999877929688,245.42657470703125,711.889404296875,521.8101196289062,185.01968383789062,433.0899963378906,256.91031341337026,222.88999938964844,250.1002333278666,717.3003375901077,527.6060256392368,189.03924688644503,452.67999267578125,254.94405994391948,220.1699981689453,245.18691006468788,704.5716259627259,519.2806599401652,183.97980469837793,432.45001220703125,256.3214394907812,220.8800048828125,247.93317917084852,716.5216106896504,526.1022689962125,186.20955566811082,447.82000732421875,31955800,31194700,23181300,12062900,14615200,140088000,102296100
2025-10-08,257.5690612792969,225.22000122070312,244.2881317138672,716.6414794921875,522.676513671875,189.0892333984375,438.69000244140625,258.0281776413904,226.72999572753906,245.67624536262252,718.4484549738279,524.7678538085896,189.57918508139647,441.3299865722656,255.62275879770374,221.19000244140625,243.48922922331397,706.6281969142439,520.923853084141,186.51950830089396,425.2300109863281,256.03198246417537,222.9199981689453,244.62768203424937,712.2587946669486,521.1130687043808,186.5495190429729,437.57000732421875,36496900,46686000,21307100,10790600,13363400,130168900,71192100
2025-10-09,253.55670166015625,227.74000549316406,241.2023162841797,732.2852783203125,520.2366943359375,192.54885864257812,435.5400085449219,257.50917476461467,228.2100067138672,244.42792989328805,732.2852783203125,522.158694647609,195.27855455286462,436.3500061035156,252.65841993311406,221.75,238.82554034163272,711.2504512938121,515.2574000210162,191.039014711271,426.17999267578125,257.3195337882977,225.0,244.13833003954065,717.0807271377935,520.1769452354545,192.20888438710807,431.80999755859375,38322000,46412100,27892100,12717200,18343600,182997200,69339900
2025-10-10,244.80340576171875,216.3699951171875,236.24905395507812,704.1223754882812,508.84405517578125,183.139892578125,413.489990234375,255.8922708493858,228.25,243.75884063652228,734.0423674154782,521.4118200258811,195.59851591827854,443.1300048828125,243.53581752909898,216.0,235.52003337107624,703.333716456913,507.5195762105422,182.03001384654092,411.45001220703125,254.45500785015722,226.2100067138672,241.10244578834048,729.6995938834806,517.4881335274953,193.4887469873255,436.5400085449219,61999100,72367500,33180300,16980100,24133800,268774400,112107900
2025-10-13,247.18885803222656,220.07000732421875,243.8187713623047,714.5050048828125,511.9212341308594,188.29933166503906,435.8999938964844,249.2149949644775,220.67999267578125,244.16830263513637,718.7379155876384,514.2714464494894,190.08912842775598,436.8900146484375,245.09284695690994,217.0399932861328,239.38480762364867,706.4584651360833,509.56105349845876,185.93959015922437,419.70001220703125,248.90558714178317,217.6999969482422,239.8841293059291,711.8194939498104,514.2714464494894,187.9493639887039,423.5299987792969,38142900,37809700,24995000,9251800,14284200,153482800,79552800
2025-10-14,247.29864501953125,216.38999938964844,245.11700439453125,707.466796875,511.4432373046875,180.01022338867188,429.239990234375,248.37659224814226,219.32000732421875,246.78473694130554,714.3552394376962,513.1461778212379,184.77970370013514,434.20001220703125,244.23447809703134,212.60000610351562,240.18370386409978,698.1623510959027,503.9045785101632,179.6802578066599,417.8599853515625,246.13087266264282,215.55999755859375,240.9027282868883,706.598254382022,508.11707238992415,184.74970821605342,426.7900085449219,35478000,45665600,22111600,8829800,14684300,205641400,72669400
2025-10-15,248.8656463623047,215.57000732421875,250.68943786621094,716.3519287109375,511.3038024902344,179.8102569580078,435.1499938964844,251.3409393203658,217.7100067138672,251.76797450819856,722.6913629779451,515.0482414945574,184.84969686580231,440.510009765625,246.99920876557604,212.66000366210938,245.6562821083569,708.3253746524584,507.888013925759,177.2705272995106,426.3299865722656,249.01537013681215,216.6199951171875,246.91456723829836,715.8627565899488,512.8274957075639,184.77971248532194,434.8999938964844,33893600,45909500,27007700,10246800,14694700,214450500,71558200
